
2024/05/26 (18:51:45) | ===> btop++ v.1.3.2
2024/05/26 (18:51:45) | WARNING: Failed to set locale c.UTF-8 continuing anyway.

2024/10/05 (17:57:31) | ===> btop++ v.1.4.0
2024/10/05 (17:57:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (21:07:59) | ===> btop++ v.1.4.0
2024/10/19 (21:07:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (19:45:09) | ===> btop++ v.1.4.0
2024/11/05 (19:45:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (19:42:53) | ===> btop++ v.1.4.0
2024/11/20 (19:42:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (19:50:54) | ===> btop++ v.1.4.0
2024/11/20 (19:50:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (09:26:04) | ===> btop++ v.1.4.0
2025/02/08 (09:26:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (18:14:27) | ===> btop++ v.1.4.0
2025/02/22 (18:14:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (08:01:48) | ===> btop++ v.1.4.0
2025/02/24 (08:01:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (09:36:24) | ===> btop++ v.1.4.0
2025/03/01 (09:36:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (18:03:51) | ===> btop++ v.1.4.0
2025/03/02 (18:03:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (18:04:46) | ===> btop++ v.1.4.0
2025/03/02 (18:04:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (18:15:50) | ===> btop++ v.1.4.0
2025/03/02 (18:15:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (18:18:33) | ===> btop++ v.1.4.0
2025/03/02 (18:18:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (08:01:28) | ===> btop++ v.1.4.0
2025/03/03 (08:01:28) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/03 (08:02:01) | WARNING: Failed to join _runner thread on exit!

2025/03/03 (08:05:32) | ===> btop++ v.1.4.0
2025/03/03 (08:05:32) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/03 (08:08:34) | WARNING: Failed to join _runner thread on exit!

2025/03/03 (08:13:10) | ===> btop++ v.1.4.0
2025/03/03 (08:13:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/03 (08:13:12) | WARNING: Failed to join _runner thread on exit!

2025/03/03 (08:18:23) | ===> btop++ v.1.4.0
2025/03/03 (08:18:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (11:15:41) | ===> btop++ v.1.4.0
2025/03/03 (11:15:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (05:34:49) | ===> btop++ v.1.4.0
2025/03/05 (05:34:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (19:52:08) | ===> btop++ v.1.4.0
2025/03/16 (19:52:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (15:50:10) | ===> btop++ v.1.4.0
2025/03/30 (15:50:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (16:14:26) | ===> btop++ v.1.4.0
2025/03/30 (16:14:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (23:39:43) | ===> btop++ v.1.4.0
2025/03/31 (23:39:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (23:45:47) | ===> btop++ v.1.4.0
2025/03/31 (23:45:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (07:18:03) | ===> btop++ v.1.4.0
2025/04/02 (07:18:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (11:24:31) | ===> btop++ v.1.4.0
2025/04/03 (11:24:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/22 (09:50:10) | ===> btop++ v.1.4.0
2025/04/22 (09:50:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (18:21:52) | ===> btop++ v.1.4.0
2025/04/24 (18:21:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (19:08:42) | ===> btop++ v.1.4.0
2025/04/26 (19:08:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (20:06:55) | ===> btop++ v.1.4.0
2025/04/26 (20:06:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (20:58:48) | ===> btop++ v.1.4.0
2025/04/26 (20:58:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/05 (15:34:32) | ===> btop++ v.1.4.0
2025/05/05 (15:34:32) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/05 (15:35:07) | WARNING: Failed to join _runner thread on exit!

2025/05/05 (15:50:19) | ===> btop++ v.1.4.0
2025/05/05 (15:50:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/05 (16:14:18) | ===> btop++ v.1.4.0
2025/05/05 (16:14:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/05 (16:18:09) | ===> btop++ v.1.4.0
2025/05/05 (16:18:09) | WARNING: Intel GPU: Failed to initialize PMU
